Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountDeclMethodAll,CountDeclMethodPublic,bug
apache.camel.builder.xml.StreamResultHandler,2,1.0,0.0,1.0,2.0,2.0,0.0
apache.camel.builder.xml.StringResultHandler,2,1.0,0.0,1.0,2.0,2.0,0.0
apache.camel.builder.xml.XPathBuilder,45,1.0,0.0,7.0,30.0,27.0,0.0
apache.camel.builder.xml.XsltBuilder,30,1.0,0.0,10.0,25.0,22.0,1.0
apache.camel.component.direct.DirectComponent,5,1.0,0.0,6.0,4.0,4.0,0.0
apache.camel.component.direct.DirectEndpoint,10,2.0,0.0,7.0,23.0,7.0,0.0
apache.camel.component.file.FileComponent,3,3.0,0.0,4.0,21.0,2.0,0.0
apache.camel.component.file.FileConsumer,26,4.0,0.0,2.0,43.0,7.0,1.0
apache.camel.component.file.FileEndpoint,10,3.0,0.0,7.0,29.0,8.0,1.0
apache.camel.component.file.FileExchange,3,2.0,0.0,2.0,30.0,3.0,0.0
apache.camel.component.file.FileMessage,7,3.0,0.0,1.0,27.0,7.0,0.0
apache.camel.component.file.FileProducer,7,3.0,0.0,6.0,17.0,3.0,2.0
apache.camel.component.jmx.JMXComponent,5,3.0,0.0,4.0,23.0,4.0,0.0
apache.camel.component.jmx.JMXConsumer,3,3.0,0.0,2.0,18.0,2.0,0.0
apache.camel.component.jmx.JMXEndpoint,20,2.0,0.0,6.0,33.0,17.0,0.0
apache.camel.component.jmx.JMXExchange,1,2.0,0.0,2.0,28.0,1.0,0.0
apache.camel.component.jmx.JMXMessage,6,3.0,0.0,1.0,26.0,6.0,0.0
apache.camel.component.mock.AssertionClause,9,1.0,2.0,9.0,8.0,6.0,0.0
apache.camel.component.mock.MockComponent,1,3.0,0.0,2.0,19.0,0.0,0.0
apache.camel.component.mock.MockEndpoint,56,2.0,0.0,8.0,47.0,28.0,0.0
apache.camel.component.pojo.NoPojoAvailableException,2,3.0,0.0,2.0,6.0,2.0,0.0
apache.camel.component.pojo.PojoComponent,9,3.0,0.0,3.0,26.0,7.0,0.0
apache.camel.component.pojo.PojoEndpoint,12,2.0,0.0,9.0,23.0,8.0,0.0
apache.camel.component.pojo.PojoExchange,4,2.0,0.0,3.0,31.0,4.0,0.0
apache.camel.component.pojo.PojoInvocation,4,1.0,0.0,0.0,4.0,4.0,0.0
apache.camel.component.pojo.timer.TimerComponent,3,3.0,0.0,3.0,21.0,0.0,0.0
apache.camel.component.pojo.timer.TimerConsumer,14,3.0,0.0,8.0,22.0,3.0,0.0
apache.camel.component.pojo.timer.TimerEndpoint,17,2.0,0.0,9.0,32.0,17.0,0.0
apache.camel.component.processor.ProcessorEndpoint,8,2.0,0.0,8.0,23.0,6.0,0.0
apache.camel.component.processor.ProcessorEndpointConsumer,3,3.0,0.0,3.0,19.0,1.0,0.0
apache.camel.component.queue.QueueComponent,2,3.0,0.0,2.0,20.0,1.0,0.0
apache.camel.component.queue.QueueEndpoint,6,2.0,0.0,6.0,21.0,6.0,0.0
apache.camel.component.queue.QueueEndpointConsumer,9,2.0,0.0,3.0,12.0,3.0,0.0
apache.camel.converter.CollectionConverter,7,1.0,0.0,1.0,5.0,5.0,0.0
apache.camel.converter.IOConverter,20,1.0,0.0,1.0,14.0,14.0,0.0
apache.camel.converter.NIOConverter,8,1.0,0.0,1.0,8.0,8.0,1.0
apache.camel.converter.ObjectConverter,11,1.0,0.0,1.0,4.0,4.0,0.0
apache.camel.converter.jaxp.BytesSource,6,2.0,0.0,0.0,6.0,6.0,0.0
apache.camel.converter.jaxp.StringSource,9,2.0,0.0,0.0,7.0,7.0,0.0
apache.camel.converter.jaxp.XmlConverter,69,1.0,0.0,4.0,38.0,38.0,0.0
apache.camel.impl.BinaryPredicateSupport,6,1.0,7.0,2.0,7.0,3.0,0.0
apache.camel.impl.CachingInjector,4,1.0,0.0,2.0,3.0,2.0,0.0
apache.camel.impl.DefaultCamelContext,65,2.0,0.0,19.0,38.0,24.0,1.0
apache.camel.impl.DefaultComponent,16,2.0,6.0,6.0,18.0,7.0,0.0
apache.camel.impl.DefaultComponentResolver,5,1.0,0.0,5.0,1.0,1.0,0.0
apache.camel.impl.DefaultConsumer,10,2.0,5.0,5.0,16.0,6.0,0.0
apache.camel.impl.DefaultEndpoint,25,1.0,8.0,8.0,15.0,13.0,0.0
apache.camel.impl.DefaultExchange,35,1.0,3.0,6.0,27.0,22.0,1.0
apache.camel.impl.DefaultExchangeConverter,1,1.0,0.0,1.0,1.0,1.0,0.0
apache.camel.impl.DefaultMessage,11,2.0,2.0,3.0,20.0,7.0,0.0
apache.camel.impl.DefaultPollingConsumer,15,3.0,0.0,5.0,24.0,8.0,0.0
apache.camel.impl.DefaultProducer,6,2.0,6.0,1.0,13.0,4.0,0.0
apache.camel.impl.EventDrivenConsumerRoute,7,2.0,0.0,4.0,13.0,4.0,0.0
apache.camel.impl.LoggingExceptionHandler,3,1.0,0.0,2.0,3.0,3.0,0.0
apache.camel.impl.MessageSupport,14,1.0,1.0,4.0,11.0,10.0,1.0
apache.camel.impl.NoPolicy,1,1.0,0.0,1.0,1.0,1.0,0.0
apache.camel.impl.NoRouteBuilder,2,3.0,0.0,0.0,43.0,2.0,0.0
apache.camel.impl.PollingConsumerRoute,7,2.0,0.0,4.0,13.0,4.0,0.0
apache.camel.impl.PollingConsumerSupport,7,2.0,1.0,3.0,13.0,5.0,0.0
apache.camel.impl.PredicateSupport,3,1.0,4.0,0.0,2.0,1.0,0.0
apache.camel.impl.ReflectionInjector,3,1.0,0.0,1.0,1.0,1.0,0.0
apache.camel.impl.ScheduledPollConsumer,17,3.0,1.0,3.0,30.0,11.0,0.0
apache.camel.impl.ScheduledPollEndpoint,7,2.0,1.0,3.0,20.0,3.0,0.0
apache.camel.impl.ServiceSupport,7,1.0,20.0,0.0,7.0,5.0,1.0
apache.camel.impl.converter.AnnotationTypeConverterLoader,24,1.0,0.0,7.0,5.0,1.0,0.0
apache.camel.impl.converter.ArrayTypeConverter,12,1.0,0.0,0.0,1.0,1.0,0.0
apache.camel.impl.converter.DefaultTypeConverter,37,1.0,0.0,9.0,10.0,7.0,0.0
apache.camel.impl.converter.InstanceMethodTypeConverter,4,1.0,0.0,3.0,3.0,3.0,0.0
apache.camel.impl.converter.PropertyEditorTypeConverter,7,1.0,0.0,0.0,1.0,1.0,0.0
apache.camel.impl.converter.StaticMethodTypeConverter,3,1.0,0.0,1.0,3.0,3.0,0.0
apache.camel.impl.converter.ToStringTypeConverter,3,1.0,0.0,0.0,1.0,1.0,0.0
apache.camel.processor.ChoiceProcessor,13,2.0,0.0,4.0,14.0,5.0,0.0
apache.camel.processor.CompositeProcessor,9,2.0,0.0,2.0,13.0,4.0,0.0
apache.camel.processor.DeadLetterChannel,23,2.0,0.0,6.0,22.0,11.0,0.0
apache.camel.processor.DelegateProcessor,10,2.0,1.0,2.0,16.0,6.0,0.0
apache.camel.processor.FilterProcessor,8,2.0,0.0,3.0,14.0,5.0,0.0
apache.camel.processor.Logger,48,1.0,0.0,2.0,12.0,11.0,0.0
apache.camel.processor.LoggingErrorHandler,26,2.0,0.0,3.0,20.0,9.0,0.0
apache.camel.processor.MulticastProcessor,14,2.0,1.0,3.0,16.0,6.0,0.0
apache.camel.processor.Pipeline,8,3.0,0.0,3.0,21.0,3.0,0.0
apache.camel.processor.RecipientList,7,2.0,0.0,7.0,13.0,3.0,0.0
apache.camel.processor.RedeliveryPolicy,32,1.0,0.0,0.0,26.0,25.0,0.0
apache.camel.processor.Resequencer,25,2.0,0.0,10.0,24.0,11.0,0.0
apache.camel.processor.SendProcessor,8,2.0,0.0,3.0,13.0,4.0,0.0
apache.camel.processor.Splitter,6,2.0,0.0,6.0,12.0,3.0,0.0
apache.camel.processor.idempotent.IdempotentConsumer,12,2.0,0.0,6.0,16.0,6.0,0.0
apache.camel.processor.idempotent.MemoryMessageIdRepository,6,1.0,0.0,1.0,5.0,5.0,0.0
apache.camel.processor.idempotent.NoMessageIdException,3,3.0,0.0,2.0,7.0,3.0,0.0
apache.camel.processor.loadbalancer.LoadBalancerSupport,3,1.0,2.0,0.0,3.0,3.0,0.0
apache.camel.processor.loadbalancer.QueueLoadBalancer,3,2.0,3.0,1.0,5.0,1.0,0.0
apache.camel.processor.loadbalancer.RandomLoadBalancer,3,3.0,0.0,1.0,6.0,0.0,0.0
apache.camel.processor.loadbalancer.RoundRobinLoadBalancer,2,3.0,0.0,1.0,6.0,0.0,0.0
apache.camel.processor.loadbalancer.StickyLoadBalancer,12,3.0,0.0,3.0,12.0,5.0,0.0
apache.camel.processor.loadbalancer.TopicLoadBalancer,3,2.0,0.0,1.0,5.0,1.0,0.0
apache.camel.spi.XmlMarshaller,1,1.0,0.0,0.0,2.0,2.0,0.0
apache.camel.spi.XmlUnmarshaller,1,1.0,0.0,0.0,2.0,2.0,0.0
apache.camel.util.CollectionHelper,3,1.0,0.0,0.0,1.0,1.0,0.0
apache.camel.util.ExchangeHelper,3,1.0,0.0,4.0,1.0,1.0,0.0
apache.camel.util.ExpressionComparator,2,1.0,0.0,2.0,2.0,2.0,0.0
apache.camel.util.ExpressionHelper,2,1.0,0.0,4.0,2.0,2.0,0.0
apache.camel.util.ExpressionListComparator,4,1.0,0.0,2.0,2.0,2.0,0.0
apache.camel.util.FactoryFinder,20,1.0,0.0,2.0,10.0,8.0,0.0
apache.camel.util.IntrospectionSupport,55,1.0,0.0,0.0,14.0,8.0,0.0
apache.camel.util.LRUCache,4,2.0,0.0,0.0,4.0,3.0,0.0
apache.camel.util.NoFactoryAvailableException,2,2.0,0.0,0.0,2.0,2.0,0.0
apache.camel.util.ObjectHelper,48,1.0,0.0,2.0,16.0,16.0,0.0
apache.camel.util.ProducerCache,10,2.0,0.0,6.0,12.0,3.0,0.0
apache.camel.util.ResolverUtil,29,1.0,0.0,3.0,9.0,6.0,0.0
apache.camel.util.ServiceHelper,20,1.0,0.0,1.0,5.0,5.0,0.0
apache.camel.util.Time,15,1.0,0.0,0.0,15.0,12.0,0.0
apache.camel.util.URISupport,42,1.0,0.0,1.0,14.0,12.0,0.0
apache.camel.util.UuidGenerator,5,1.0,0.0,0.0,5.0,5.0,0.0
apache.camel.view.RouteDotGenerator,7,1.0,0.0,5.0,5.0,3.0,0.0
